Date,Adj Close,Close,High,Low,Open,Volume
2025-02-21,244.95042419433594,245.5500030517578,248.69000244140625,245.22000122070312,245.9499969482422,53197400
2025-02-24,246.49664306640625,247.10000610351562,248.86000061035156,244.4199981689453,244.92999267578125,51326400
2025-02-25,246.43678283691406,247.0399932861328,250.0,244.91000366210938,248.0,48013300
2025-02-26,239.77308654785156,240.36000061035156,244.97999572753906,239.1300048828125,244.3300018310547,44433600
2025-02-27,236.72056579589844,237.3000030517578,242.4600067138672,237.05999755859375,239.41000366210938,41153600
2025-02-28,241.24948120117188,241.83999633789062,242.08999633789062,230.1999969482422,236.9499969482422,56833400
2025-03-03,237.4487762451172,238.02999877929688,244.02999877929688,236.11000061035156,241.7899932861328,47184000
2025-03-04,235.35391235351562,235.92999267578125,240.07000732421875,234.67999267578125,237.7100067138672,53798100
2025-03-05,235.1643829345703,235.74000549316406,236.5500030517578,229.22999572753906,235.4199981689453,47227600
2025-03-06,234.75538635253906,235.3300018310547,237.86000061035156,233.16000366210938,234.44000244140625,45170400
2025-03-07,238.4862518310547,239.07000732421875,241.3699951171875,234.75999450683594,235.11000061035156,46273600
2025-03-10,226.92454528808594,227.47999572753906,236.16000366210938,224.22000122070312,235.5399932861328,72071200
2025-03-11,220.30076599121094,220.83999633789062,225.83999633789062,217.4499969482422,223.80999755859375,76137400
2025-03-12,216.45018005371094,216.97999572753906,221.75,214.91000366210938,220.13999938964844,62547500
2025-03-13,209.1680145263672,209.67999267578125,216.83999633789062,208.4199981689453,215.9499969482422,61368300
2025-03-14,212.96871948242188,213.49000549316406,213.9499969482422,209.5800018310547,211.25,60107600
2025-03-17,213.4774627685547,214.0,215.22000122070312,209.97000122070312,213.30999755859375,48073400
2025-03-18,212.170654296875,212.69000244140625,215.14999389648438,211.49000549316406,214.16000366210938,42432400
2025-03-19,214.7144317626953,215.24000549316406,218.75999450683594,213.75,214.22000122070312,54385400
2025-03-20,213.5772247314453,214.10000610351562,217.49000549316406,212.22000122070312,213.99000549316406,48862900
2025-03-21,217.73703002929688,218.27000427246094,218.83999633789062,211.27999877929688,211.55999755859375,94127800
2025-03-24,220.19102478027344,220.72999572753906,221.47999572753906,218.5800018310547,221.0,44299500
2025-03-25,223.2036590576172,223.75,224.10000610351562,220.0800018310547,220.77000427246094,34493600
2025-03-26,220.9890594482422,221.52999877929688,225.02000427246094,220.47000122070312,223.50999450683594,34466100
2025-03-27,223.30340576171875,223.85000610351562,224.99000549316406,220.55999755859375,221.38999938964844,37094800
2025-03-28,217.36793518066406,217.89999389648438,223.80999755859375,217.67999267578125,221.6699981689453,39818600
2025-03-31,221.58761596679688,222.1300048828125,225.6199951171875,216.22999572753906,217.00999450683594,65299300
2025-04-01,222.64501953125,223.19000244140625,223.67999267578125,218.89999389648438,219.80999755859375,36412700
2025-04-02,223.3433074951172,223.88999938964844,225.19000244140625,221.02000427246094,221.32000732421875,35905900
2025-04-03,202.69386291503906,203.19000244140625,207.49000549316406,201.25,205.5399932861328,103419000
2025-04-04,187.92002868652344,188.3800048828125,199.8800048828125,187.33999633789062,193.88999938964844,125910900
